Epoch,Total Epochs,Epoch Time (s),Time per Step (ms),Loss,Accuracy
1,5,946.012001,94601.200080,2.878033,0.100000
2,5,930.309737,93030.973697,3.901726,0.300000
3,5,922.130768,92213.076758,2.980245,0.100000
4,5,922.211753,92221.175337,2.694758,0.200000
5,5,929.792512,92979.251170,2.629253,0.200000
